id,pca_features
1,"[-1.23288451991,1.25751301158,-0.154036296149,-4.46295255075,2.94945832993,-0.0617587457551,-1.8212819103,1.41267947143,-3.56861086824,0.597975605801,0.109155463966,0.942336685437,1.42967343836,-0.622189689142,-1.27833508425,1.57958375384,-0.664646910877,0.937369899815,0.609420013626,1.57759053819,0.0955152832146,-0.398437307567,0.211753555504,0.177030675693,-0.0450161437444,0.136407467861,0.396222389165,-0.0288845818138,-0.859651056774,0.416260245723,-0.576771324228,0.473977125107,0.691757421899,-0.136601833488,-0.34018373505,0.167700315867,0.178669363958,-0.101998082752,0.0762823258088,-0.349794987372,0.580445193174,-0.601256851815,0.145400611028,0.0977718417237,0.222057578396,0.507874566879,0.530267911865,-0.0229214928492,0.159234459429,-0.476566324391]"
2,"[-1.25876948186,1.20488144835,-0.0856727220402,-4.17380355027,2.70523380135,0.0260455937808,-1.80277724186,1.30579512426,-3.38633122481,0.650633501926,0.0826754510845,0.822242140703,1.29721472665,-0.478853621723,-1.43123042194,1.46099198366,-0.693323061749,0.821723980022,0.6760716069,1.63822920582,0.20726665055,-0.386889445385,0.0543850533692,0.183380738165,-0.152530535272,0.291785558737,0.452895141143,0.0507259082044,-0.873005564771,0.420211404728,-0.387352346786,0.547930193009,0.634801062192,-0.129901514499,-0.37027026612,0.0158164932121,0.373230350143,0.0132945232621,0.140620544079,-0.451175852657,0.299853375085,-0.568737171061,0.18087245945,0.165646897425,0.0502133884772,0.659431227659,0.505442545099,-0.220918061386,0.295638891674,-0.3931229658]"
3,"[-1.86888535992,1.10924763187,0.233794649552,-3.8738054001,2.85701905765,0.704600307324,-2.31464054854,1.80721678004,-3.80649642482,0.774567213054,-0.329381146985,1.42148574792,1.2056218766,-0.125983721196,-1.72474329821,0.802025289627,-0.496477913018,0.466078469353,0.207983333838,1.81028274737,-0.154628591247,-0.389689415223,-0.0614251605107,-0.034534961238,-0.34944581479,0.553160353714,0.456253210436,-0.0109491694151,-0.575385095523,0.617669468219,-0.490610734335,0.0567195995123,0.48830286449,-0.0481890375399,-0.249640182032,-0.102488600836,0.208234952296,0.212380258117,0.0385620046868,-0.502024482348,0.397241650035,-0.356398569071,0.298185762104,0.177007866819,0.510333829123,0.572467142774,0.404425359287,-0.389297228394,0.416382594523,-0.403108087098]"
4,"[-5.5015619452,1.63057365516,1.16733920449,-2.73280780185,-1.07240775681,0.795292633582,-0.984745362706,1.18509148482,-1.72371893706,-1.48022104743,-1.84616728606,-2.01839805436,0.911803103049,-0.599485418093,-0.293749126177,2.48806901511,-1.11958841018,0.895336065417,1.47391960508,1.51104205489,-0.339114513373,-0.38735147781,-0.636614097504,-0.52088166131,-1.26449479995,0.362471576616,0.20463624171,0.178144350517,-0.850517350118,-0.477345995101,0.532310568239,0.566931819973,0.399354538258,0.0927856275698,0.407823333993,0.0398934077145,0.014844452493,0.65090009577,-0.452935609625,0.438348792841,0.399255372222,-0.0639471598987,-0.624985616181,-0.00785567619545,-0.469785962732,0.470813314459,0.427861678203,0.26430369952,0.375601516636,-0.131375758832]"
5,"[-5.36193529818,1.750917732,1.16426992864,-2.68335563059,-0.862958480944,0.575582374407,-0.910650526278,1.14658504842,-1.50681745026,-1.39784308697,-1.86201015786,-2.10713200495,0.827228402214,-0.793955429951,-0.605782640471,2.43376095695,-0.891567981071,1.10929342459,1.11084852398,1.57918941109,-0.526508317356,-0.410343420596,-0.679122592025,-0.615545656403,-1.18542216543,0.43255648356,0.338342819507,-0.0329410625554,-0.866884745749,-0.139156947352,0.508585967783,0.351530059136,0.221319253068,0.294245746069,0.465743965298,0.0980934534896,0.0386196633642,0.576815617592,-0.392847233742,0.370690104989,0.398192051719,0.0728130939002,-0.47056000201,-0.0414153758262,-0.422518547676,0.574126999746,0.299105647084,0.371112607067,0.542580871906,-0.0914438178375]"
6,"[-5.73002790529,1.6082049465,1.48118672493,-2.95247495137,-2.06605272087,1.75880060906,-2.4258515304,2.769884592,-1.40407500313,-1.35397712501,-2.26502969151,-0.966522092398,0.42874616223,-0.786464680678,-0.791990867987,2.1418369491,-0.836875778439,0.603856634827,0.549527460615,1.71966749717,-0.546642762753,-0.366378882513,-0.991860655382,-0.668363209914,-0.8360096604,0.316527808627,0.0344757518549,-0.303805744218,-0.532187897733,-0.236899046015,0.0334916876329,0.00181151620686,0.0373649266844,0.382808350855,0.339711994303,-0.00273681528491,-0.227677446036,0.781360293081,-0.536596763617,0.0389564336614,0.116556064873,0.508719773222,-0.560759072273,-0.233664426014,-0.0755332384678,0.560347953939,0.256303897457,0.0763769778735,0.308051303737,-0.127666623073]"
7,"[-5.37877428895,1.59894486609,-3.62901043204,-0.296878379255,0.657975760721,-1.02781839769,-1.44867813518,0.764912260187,-0.951732171682,-0.157174691191,-0.100178263508,0.254966134499,1.48712769956,-0.687433953752,-0.980967692977,1.91266968443,-1.22178427084,-0.381117904808,1.37210602099,1.43152273066,1.61113746941,-0.81549803208,-1.35992185087,-1.29861114905,-0.639508888944,-0.654693507215,0.486168094699,0.147614248527,-0.612304966391,0.0605638099688,0.511528507997,0.467459101535,1.09010169103,0.264739910151,0.331668583763,-0.0132511438873,0.501395708012,-0.0262453493069,-0.144987865447,-0.0218985265488,-0.208271224275,-0.357029991763,-0.603516035432,-0.424387782987,0.369015325883,0.0680945330842,-0.211400315929,0.411408691435,0.356729683924,-0.248140181849]"
8,"[-5.31107974746,1.57686776226,-3.24631491838,-0.424034554798,0.625852915666,-0.880971818872,-1.39087887467,0.800300451914,-1.01668379285,-0.014327352391,-0.388727825772,0.341938381592,1.43696983982,-0.639174392617,-0.910413367449,1.81735984441,-0.888777970052,-0.488520538064,1.39106481058,1.48523988853,1.47755202972,-0.774180079206,-1.25222059377,-1.26920655108,-0.701475033179,-0.57857659093,0.570213556965,0.302911448181,-0.436746322186,-0.00773879000934,0.474905554678,0.334564670869,1.17680073843,0.357214106053,0.07859291321,-0.209867812971,0.384675694222,0.115033873399,-0.117794153161,0.239313916947,-0.275090583989,0.0463917722254,-0.423193910028,-0.287981532643,0.078860283034,0.087171311352,-0.159984947433,0.0870989831637,0.24978667342,-0.208224292238]"
9,"[-6.27443209163,1.57820192626,-2.7857660322,0.340569548145,0.726096788973,0.0692304021376,-2.19673733255,1.25687634585,-1.3486298902,0.264907896441,-1.0879241174,1.05699286359,1.42340362172,-0.1937851369,-1.21501605318,1.20427551183,-0.803058376196,-0.896487297992,1.02493959297,1.76768983131,1.16952827259,-0.820995225205,-1.31121737899,-1.51844142951,-0.760656729932,-0.0955451096181,0.391069538227,-0.160862043677,-0.0728793187229,0.354124268007,0.35002846373,-0.154359983783,1.10116349951,0.678095774716,0.112179602972,-0.508013362359,0.766467416238,0.221471893242,-0.479093872537,0.158560471403,-0.0627656207132,0.386030756998,-0.261654049899,0.117983284183,0.37731430448,0.365966546125,-0.30920087466,0.0640622115252,0.577921877438,-0.305996488223]"
10,"[0.166795762526,-0.134710812065,0.033508421016,-0.320915673678,0.125463017167,0.100082622185,0.0332494047091,0.0346866855885,0.202190280995,0.359893114567,-0.180598846255,-0.20348788632,-0.162701828815,-0.148449474778,-0.0551880105129,-0.575450451686,-0.292093488999,-0.560245664707,0.0876107657899,-0.0403238416786,0.598769321001,-0.196738252318,-0.191574620287,-0.0387789181768,0.141320550926,0.214883880738,0.15377419276,0.157966482665,-0.279635967868,0.0178652941289,-0.218170546008,0.00686071716859,-0.225765707813,-0.194456464617,-0.315654867886,-0.0738908482186,0.45181965368,-0.0658027100523,0.044106583341,-0.239121094761,0.124990574898,-0.024241369983,0.129068181076,-0.0544358927407,-0.119148887268,0.050631140864,0.290779186569,-0.0540261942885,0.451236777895,-0.0491116203268]"
11,"[0.15122171007,-0.189423094815,0.0611792352505,-0.171414892965,0.207509040762,0.20343260888,-0.159815541825,-0.110181370523,0.404207376284,0.427297076973,-0.187258870315,-0.40841819841,-0.239218579774,-0.192750841489,0.0389412795532,-0.528901644575,-0.0483639668428,-0.545422978408,0.285494521409,-0.114023914773,0.371532516639,-0.033708304004,-0.0448543118061,0.139472538894,0.352582986041,0.13536809397,-0.0478790396955,0.0645538498396,-0.298619311902,-0.148286288076,-0.0103916259222,-0.0816171981166,-0.043485795317,-0.178060980079,-0.392799378146,-0.0318725051759,0.443703863392,-0.0149892131331,-0.238544303839,-0.0706266347544,0.158333159911,0.120108177722,0.206432115209,-0.273156386331,-0.00864957048408,0.12282360857,0.104491389989,0.0838610842996,0.340521590215,-0.157536450125]"
12,"[0.276959511069,2.56361160395,-0.871707872092,-3.33314275926,-1.11334922137,0.924469255042,-3.72603261463,1.44044385252,-0.647240194519,1.20132245083,-1.15233896198,0.893852999223,0.65514282688,-1.21274664243,-2.38833386537,-0.308039234854,-2.01356402659,-1.14246504746,1.54867554624,0.727838106326,0.380100879756,-1.31490788449,-0.191394581804,-1.26297501893,-0.757349312006,1.19287297008,-0.268252120452,0.273763961033,-0.874625963869,0.0568366764132,-0.654075199337,0.778218148464,0.300738427251,0.148301772688,1.22177639624,0.639509763019,0.429431167986,0.0282200479023,0.18648242335,-0.0480223898148,0.338227245775,0.30319982696,0.35721716963,-0.311057958815,-0.352673333192,0.157714300853,0.124284069731,-0.356439689252,0.242607653349,0.592010200326]"
13,"[0.136510461084,-0.143586108254,0.0402013643255,-0.335586049411,0.00679892319953,0.0278936337815,-0.0412560753769,-0.193508840803,0.31430080609,0.366325078367,-0.238986203754,-0.233672392997,-0.16924740272,-0.289901775269,-0.0513975260448,-0.760173000273,-0.337576079129,-0.411339071599,-0.0868763336055,-0.0655953423011,0.309160118245,-0.145993505202,0.0180595893148,0.165010713856,0.213172259112,0.146447852039,-0.0385701671606,-0.113908220561,0.00522212966541,-0.131709472598,-0.102714773198,0.0819277961495,-0.175280450346,0.0986703409006,-0.189686367351,-0.117242931626,0.361325888618,0.186252541273,-0.162554462354,-0.121700991295,0.327693131012,0.051025955769,0.357144213141,-0.175996604209,0.0569501551666,0.109866244521,0.0307235481146,-0.175761507261,0.451125471126,-0.0833519714878]"
14,"[0.147764758676,-0.17482816809,0.0343579337003,-0.198609893874,0.133479985607,0.218722933393,-0.108339680027,-0.232384718189,0.436113685075,0.478109489388,-0.289598275872,-0.410237399874,-0.193555938922,-0.292390829211,-0.0592923714505,-0.604744870151,-0.16433411935,-0.509273913031,0.226049435682,-0.0279305128234,0.296103613604,0.0515949529125,-0.037178549576,0.126737497311,0.435806251958,0.142392509044,-0.0621583383545,0.0468146747528,-0.183905019777,-0.0929857855428,-0.0309451499809,-0.00163331294749,-0.0738834068443,-0.0740865669095,-0.285345636309,0.0675475605665,0.514891329238,0.073444028699,-0.252657529326,-0.0149546365216,0.223552965014,0.164384236359,0.219626645909,-0.350279320916,0.167757622817,0.202490729192,0.0283019239625,0.044347484096,0.282037172485,-0.206786218999]"
15,"[-1.16994101872,0.685366607062,0.157719317318,-3.66146950114,-0.962611111593,-0.0752950169877,-3.38826315251,0.770636427421,-1.04637381874,2.13125714764,-1.46404771965,0.247018150749,1.23067409998,-1.9383027382,-2.9682093608,-0.194715603803,-1.64409678023,-0.34300428735,1.76934347673,1.04100036596,-0.0581048766932,-1.07683723652,-0.112020419415,0.13961193744,0.302896814056,0.953837900266,0.45036581392,0.531610804827,-0.111787231897,-0.109000504685,0.509324786167,-0.162133158205,0.441325882796,0.721285731579,0.238978881279,0.377800139764,0.127586442851,0.0602431922219,-0.307348450279,-0.512642788805,0.495940229861,-0.0866465055612,0.0782458252434,-0.14820851806,-0.559870876453,-0.266873194574,0.106646505724,-0.378458198424,0.280878848048,-0.10757794797]"
16,"[-0.985060850369,0.952881220495,-0.812357231855,-3.46283899848,-3.82054462249,0.66509631514,-2.06909337758,1.8333498768,-0.290081767881,0.626588216851,1.34207088288,1.80434910301,1.41080075518,-0.906152291755,-1.60835687123,1.9303768834,-0.428368010423,0.61311577568,0.767915476502,0.22906039012,0.499232844586,-1.271238841,-0.284046422894,-0.770582954615,-0.983675230137,-0.381496637654,0.0225718781047,-0.711741735999,-0.411866181177,0.0139931806783,0.430178272489,0.467335262587,-0.400594084606,0.224546940381,-0.0676190823634,-0.102170311356,0.540697290021,0.197396812536,-0.050919616508,-0.534551329467,0.424631400685,-0.0648218867883,-0.135995225477,-0.0494196059661,0.246035080903,0.14483745458,-0.0682043765794,-0.100999577104,0.565946135724,-0.165455589701]"
17,"[-0.969850337371,0.948586897864,-0.870824355013,-3.36408377697,-3.64455005268,0.758214887226,-2.00214690748,1.95771637559,-0.311306270651,0.561033314982,1.16711175423,1.82301220911,1.43507140162,-0.913970993391,-1.58888382479,1.92466394918,-0.491994635837,0.541015768249,0.694751673655,0.249428426316,0.388142036719,-1.07039647406,-0.238806107369,-0.86653623513,-1.01512663013,-0.333597703514,0.0436415422293,-0.512697028494,-0.384160160171,-0.0656429046181,0.382702240276,0.473412737554,-0.393706362456,0.150306210774,-0.124141609357,0.0390946564089,0.427553329325,0.039910441288,-0.160535196459,-0.376408585507,0.224456488207,-0.149284101028,-0.134267734114,-0.168588619776,0.114166990482,0.293671998039,0.0740584722973,-0.263230707261,0.48311361205,-0.0201463536223]"
